fold,fdr_q,stock_a,stock_b,Q_estimated,R_estimated
fold_01_202007_202012,0.2,RTX,ETN,0.0004952315146479811,2.594090195349774e-05
fold_01_202007_202012,0.2,XOM,DVN,0.0004803829597031956,2.1865180321928093e-05
fold_01_202007_202012,0.2,INTU,NOW,0.00042483445473113357,3.452563199450162e-05
fold_02_202010_202103,0.2,FIS,GPN,0.0004994119519069657,2.424850298339792e-05
fold_02_202010_202103,0.2,LOW,NKE,0.0005493016549168851,6.21557175055802e-05
fold_02_202010_202103,0.2,V,FIS,0.0004969887443458692,3.0720798099371866e-05
fold_02_202010_202103,0.2,KEY,CFG,0.00047211638074678086,2.128538218942738e-05
fold_02_202010_202103,0.2,UPS,BA,0.0004924862519994871,4.680888496750372e-05
fold_02_202010_202103,0.2,UPS,PH,0.0005212234129451821,4.0167504059221815e-05
fold_02_202010_202103,0.2,UPS,RTX,0.000514918992796823,4.3338771629174555e-05
fold_02_202010_202103,0.2,WMB,XLE,0.0007086155949103199,5.7258653885157486e-05
fold_02_202010_202103,0.2,UPS,EMR,0.0005312768835493333,4.278591065868801e-05
fold_02_202010_202103,0.2,PNC,NTRS,0.0005161479303879912,3.286824223044826e-05
fold_03_202101_202106,0.2,LOW,NKE,0.0005355444734222263,6.456191081710881e-05
fold_03_202101_202106,0.2,FIS,GPN,0.0004938115164456418,2.5087047342773414e-05
fold_03_202101_202106,0.2,PNC,NTRS,0.0005356652396497844,4.0935182605514646e-05
fold_03_202101_202106,0.2,UPS,EMR,0.000532776280350235,4.814765746247251e-05
fold_03_202101_202106,0.2,LOW,XLY,0.0005124563775412624,4.41620008507381e-05
fold_03_202101_202106,0.2,LLY,DHR,0.0005326105815482151,4.5059567323463005e-05
fold_03_202101_202106,0.2,PEP,XLP,0.0004970084497467188,1.4492106804869986e-05
fold_03_202101_202106,0.2,XOM,WMB,0.0006810978560788183,4.221311013989758e-05
fold_03_202101_202106,0.2,MCHP,MRVL,0.0005171099986515844,7.160641872959466e-05
fold_03_202101_202106,0.2,UPS,RTX,0.0005135718482310149,4.794882724411633e-05
fold_04_202104_202109,0.2,PNC,NTRS,0.000533013250183535,4.3717761908217366e-05
fold_04_202104_202109,0.2,KMB,MDLZ,0.0005085626653406109,3.428808546428513e-05
fold_04_202104_202109,0.2,EOG,OXY,0.0008203549422048965,6.441177639225714e-05
fold_04_202104_202109,0.2,LOW,NKE,0.0005391730964383522,6.79383492995017e-05
fold_04_202104_202109,0.2,TFC,NTRS,0.0005559749191683934,5.003362303677532e-05
fold_04_202104_202109,0.2,RF,NTRS,0.0005459175058437338,6.736977200593719e-05
fold_04_202104_202109,0.2,MCHP,MRVL,0.0005220443079105702,7.603055454668403e-05
fold_04_202104_202109,0.2,PFE,ELV,0.0004972904786378137,3.896486344560804e-05
fold_04_202104_202109,0.2,JNJ,XLV,0.000491608603268326,2.1012921450069995e-05
fold_04_202104_202109,0.2,GOOGL,ADBE,0.00047683132672438695,3.3612387112306975e-05
fold_05_202107_202112,0.2,V,MA,0.0004345152586050427,1.5403332610108457e-05
fold_05_202107_202112,0.2,MCHP,MRVL,0.0005248572270708436,7.791667512799038e-05
fold_05_202107_202112,0.2,HD,TGT,0.0005121152185798578,4.735913225858627e-05
fold_05_202107_202112,0.2,NSC,CSX,0.0004916845743526593,2.8145306408591326e-05
fold_05_202107_202112,0.2,NKE,TGT,0.0004895837058928917,6.800377541322372e-05
fold_05_202107_202112,0.2,ORCL,NOW,0.0004414550390260798,5.51493518410452e-05
fold_05_202107_202112,0.2,TFC,NTRS,0.0005609218657886057,5.2448283102032204e-05
fold_05_202107_202112,0.2,QCOM,SMH,0.0005377230326530333,5.890356872333777e-05
fold_05_202107_202112,0.2,JNJ,TMO,0.0005059467849317139,3.254755681259968e-05
fold_05_202107_202112,0.2,QCOM,AVGO,0.0005384765679486316,7.163150526845582e-05
fold_06_202110_202203,0.2,TMO,DHR,0.0004928806274015937,3.3251965798882286e-05
fold_06_202110_202203,0.2,PEP,PG,0.000493083102800266,2.5181051567165345e-05
fold_06_202110_202203,0.2,HBAN,NTRS,0.0005541751022080073,5.75759555822216e-05
fold_06_202110_202203,0.2,V,MA,0.00043532973176405796,1.603840055453345e-05
fold_06_202110_202203,0.2,HD,TGT,0.0004940677046731043,4.9640936935066314e-05
fold_06_202110_202203,0.2,LOW,XLY,0.0005426936955349546,4.8732316103576115e-05
fold_06_202110_202203,0.2,PEP,MDLZ,0.0005066219469835662,2.35168446158038e-05
fold_06_202110_202203,0.2,C,USB,0.0005580438264957183,3.868603880935148e-05
fold_06_202110_202203,0.2,DE,PH,0.0005078646065629232,4.9385722306158294e-05
fold_06_202110_202203,0.2,TFC,NTRS,0.0005671025041207699,5.321284193460994e-05
fold_07_202201_202206,0.2,PEP,MDLZ,0.0005091244560567025,2.385837858729262e-05
fold_07_202201_202206,0.2,LOW,XLY,0.0005255470452133759,4.963886558240519e-05
fold_07_202201_202206,0.2,TFC,NTRS,0.0005884030181782659,5.444716412916318e-05
fold_07_202201_202206,0.2,HD,TGT,0.0004832601135769091,5.1475037947637475e-05
fold_07_202201_202206,0.2,MCHP,NXPI,0.0006011492543459806,8.14946236404922e-05
fold_07_202201_202206,0.2,TMO,DHR,0.00046723947148781715,3.406221593642116e-05
fold_07_202201_202206,0.2,FANG,XLE,0.0006697111535807534,0.00013301788443207128
fold_07_202201_202206,0.2,DE,PH,0.0005095075460634622,4.974817632565859e-05
fold_07_202201_202206,0.2,C,USB,0.0005592173214201391,3.888998383225056e-05
fold_07_202201_202206,0.2,RF,NTRS,0.0005553457410150507,7.143938727006058e-05
fold_08_202204_202209,0.2,DE,PH,0.0005323200513368109,5.051815993720298e-05
fold_08_202204_202209,0.2,UNP,NSC,0.0004982900751182879,2.924408940333426e-05
fold_08_202204_202209,0.2,BAC,PNC,0.0005132486855526999,2.902062191542061e-05
fold_08_202204_202209,0.2,LOW,XLY,0.0005296846408378305,5.097143924432059e-05
fold_08_202204_202209,0.2,HD,TGT,0.0004806500611810793,5.2925249062997066e-05
fold_08_202204_202209,0.2,PEP,HSY,0.0005001825394730306,3.5069792547117967e-05
fold_08_202204_202209,0.2,NKE,TGT,0.0004805181211678079,7.344024669418602e-05
fold_08_202204_202209,0.2,BAC,XLF,0.0005130368816489503,1.7179038087786054e-05
fold_08_202204_202209,0.2,C,USB,0.000562122027670058,3.8979111311785446e-05
fold_08_202204_202209,0.2,DIS,IYZ,0.0005363112734691614,5.876196174517997e-05
fold_09_202207_202212,0.2,DE,PH,0.0005059313706582817,5.396807125563909e-05
fold_09_202207_202212,0.2,JNJ,LLY,0.0005137035397015458,3.312884507375063e-05
fold_09_202207_202212,0.2,UNP,NSC,0.000500200754117044,2.8797210123033616e-05
fold_09_202207_202212,0.2,LOW,XLY,0.0005426778688357393,4.9957646634774016e-05
fold_09_202207_202212,0.2,JNJ,XLV,0.000494611514644962,2.2708020182392995e-05
fold_09_202207_202212,0.2,CVX,OKE,0.0007288245113653615,5.6081690965469195e-05
fold_09_202207_202212,0.2,JNJ,ISRG,0.000524497041433316,3.873700486767583e-05
fold_09_202207_202212,0.2,MDLZ,HSY,0.0005021282198485373,2.9008491993349355e-05
fold_09_202207_202212,0.2,MCHP,NXPI,0.0005382348407738718,7.842658528265029e-05
fold_09_202207_202212,0.2,BAC,PNC,0.0005105155702377871,2.9498243640337127e-05
fold_10_202210_202303,0.2,TXN,NXPI,0.0005281938216005018,5.056049037484231e-05
fold_10_202210_202303,0.2,JNJ,LLY,0.0005213975433664852,3.310110217190345e-05
fold_10_202210_202303,0.2,MCHP,NXPI,0.0005587353719998105,7.204327012327179e-05
