spec,group,pair_type,stock_a,stock_b,entry_threshold,avg_beta,std_beta,avg_beta_uncertainty,beta_uncertainty_block_share,avg_confidence,avg_abs_position,avg_spread_turnover,avg_leg_turnover,total_cost_drag,net_total_return,net_annual_return,net_annual_volatility,net_sharpe,net_sharpe_se,net_max_drawdown,net_daily_hit_rate,gross_total_return,gross_sharpe,gross_sharpe_se,num_trades,trade_win_rate,avg_net_trade_return,median_net_trade_return,avg_holding_days,best_trade,worst_trade,selection_pvalue,selection_pvalue_bh_adj,selection_passes_fdr,selection_beta,selection_r_squared,selection_half_life,selection_training_stability_score,selection_beta_stability,selection_half_life_ratio,selection_fdr_q_threshold_used,selection_selection_mode,fold,fdr_q,transaction_cost_bps,hmm_regime_at_test_start
kalman_full,Industrials,stock_stock,RTX,ETN,3.0,0.6997603258570799,0.014695329886464688,0.0195015818492165,0.0,0.57610190602465,0.01775581425182298,0.0177866851492705,0.017807423689820214,0.0,-0.02099379325257067,-0.041552835947388435,0.03297483859668569,-1.2601376599782634,0.11885190483892351,-0.02912210779271751,0.015748031496062992,-0.02099379325257067,-1.2601376599782634,0.11885190483892351,2,0.0,-0.010529864159619096,-0.010529864159619096,2.0,-0.003825912149603816,-0.017233816169634375,1.4230993659124376e-05,0.015582938056741191,True,0.8907096745174801,0.9440060944237351,12.56603918681127,4,0.2576393743288109,1.1930096704939606,0.2,fdr_pass,fold_01_202007_202012,0.2,0,high_vol_at_test_start
kalman_full,Industrials,stock_stock,RTX,ETN,3.0,0.6997603258570799,0.014695329886464688,0.0195015818492165,0.0,0.57610190602465,0.01775581425182298,0.0177866851492705,0.017807423689820214,0.0011307714043035835,-0.022108821669639567,-0.04379657133230579,0.03348559390073236,-1.307922787994748,0.12086730570346793,-0.029951260554008652,0.015748031496062992,-0.02099379325257067,-1.2601376599782634,0.11885190483892351,2,0.0,-0.010815054700012317,-0.010815054700012317,2.0,-0.004113227702418065,-0.017516881697606568,1.4230993659124376e-05,0.015582938056741191,True,0.8907096745174801,0.9440060944237351,12.56603918681127,4,0.2576393743288109,1.1930096704939606,0.2,fdr_pass,fold_01_202007_202012,0.2,5,high_vol_at_test_start
kalman_full,Industrials,stock_stock,RTX,ETN,3.0,0.6997603258570799,0.014695329886464688,0.0195015818492165,0.0,0.57610190602465,0.01775581425182298,0.0177866851492705,0.017807423689820214,0.002261542808607167,-0.023222895579162905,-0.04604030671722314,0.03400677962428827,-1.3538567081588726,0.12284245057108782,-0.030779940176166032,0.015748031496062992,-0.02099379325257067,-1.2601376599782634,0.11885190483892351,2,0.0,-0.01110024431565021,-0.01110024431565021,2.0,-0.004400542389419448,-0.01779994624188097,1.4230993659124376e-05,0.015582938056741191,True,0.8907096745174801,0.9440060944237351,12.56603918681127,4,0.2576393743288109,1.1930096704939606,0.2,fdr_pass,fold_01_202007_202012,0.2,10,high_vol_at_test_start
kalman_full,Industrials,stock_stock,RTX,ETN,3.0,0.6997603258570799,0.014695329886464688,0.0195015818492165,0.0,0.57610190602465,0.01775581425182298,0.0177866851492705,0.017807423689820214,0.005653857021517918,-0.026559395736044045,-0.05277151287197517,0.035628296391246365,-1.4811685715329566,0.12849615235663886,-0.03326314156898613,0.015748031496062992,-0.02099379325257067,-1.2601376599782634,0.11885190483892351,2,0.0,-0.011955807614031144,-0.011955807614031144,2.0,-0.005262481255545626,-0.018649133972516663,1.4230993659124376e-05,0.015582938056741191,True,0.8907096745174801,0.9440060944237351,12.56603918681127,4,0.2576393743288109,1.1930096704939606,0.2,fdr_pass,fold_01_202007_202012,0.2,25,high_vol_at_test_start
kalman_full,Semiconductors,stock_stock,MCHP,MRVL,2.0,0.6770362035914621,0.017767239276617865,0.014179858017434314,0.4921875,0.49658347946918635,0.02378761807785428,0.0238119714022527,0.023821188809298535,0.0,-0.023252455092609092,-0.04639978983081294,0.02365952795538175,-1.9611460515322137,0.15171063727492462,-0.027367070419086925,0.015748031496062992,-0.023252455092609092,-1.9611460515322137,0.15171063727492462,3,0.0,-0.0078059613940062444,-0.00574526523906671,2.0,-0.005119329136455519,-0.012553289806496504,0.0005863735624242406,0.2313670452576344,False,0.48385429694205695,0.7526537973786199,23.801312008399183,3,0.4553548645609748,1.282917943386473,0.2,top_raw_p_fallback,fold_05_202107_202112,0.2,0,low_vol_at_test_start
kalman_full,Semiconductors,stock_stock,MCHP,MRVL,2.0,0.6770362035914621,0.017767239276617865,0.014179858017434314,0.4921875,0.49658347946918635,0.02378761807785428,0.0238119714022527,0.023821188809298535,0.0015126454893904567,-0.024734818494392852,-0.049401259620784566,0.024145500838437136,-2.0459819803009793,0.1560592743198729,-0.028589990437718704,0.015748031496062992,-0.023252455092609092,-1.9611460515322137,0.15171063727492462,3,0.0,-0.00805851927911013,-0.005994365539199742,2.0,-0.005380020059849611,-0.012801172238281033,0.0005863735624242406,0.2313670452576344,False,0.48385429694205695,0.7526537973786199,23.801312008399183,3,0.4553548645609748,1.282917943386473,0.2,top_raw_p_fallback,fold_05_202107_202112,0.2,5,low_vol_at_test_start
kalman_full,Semiconductors,stock_stock,MCHP,MRVL,2.0,0.6770362035914621,0.017767239276617865,0.014179858017434314,0.4921875,0.49658347946918635,0.02378761807785428,0.0238119714022527,0.023821188809298535,0.0030252909787809134,-0.026215305513806464,-0.05240272941075618,0.02465128250034925,-2.1257607757330175,0.16020236803184892,-0.029811679661952417,0.015748031496062992,-0.023252455092609092,-1.9611460515322137,0.15171063727492462,3,0.0,-0.008311076714653328,-0.006243465330809328,2.0,-0.0056407101430850926,-0.013049054670065563,0.0005863735624242406,0.2313670452576344,False,0.48385429694205695,0.7526537973786199,23.801312008399183,3,0.4553548645609748,1.282917943386473,0.2,top_raw_p_fallback,fold_05_202107_202112,0.2,10,low_vol_at_test_start
kalman_full,Semiconductors,stock_stock,MCHP,MRVL,2.0,0.6770362035914621,0.017767239276617865,0.014179858017434314,0.4921875,0.49658347946918635,0.02378761807785428,0.0238119714022527,0.023821188809298535,0.007563227446952285,-0.030645527297927133,-0.06140713878067103,0.026275819805758268,-2.3370208516658284,0.17139614817933368,-0.03346937186540633,0.015748031496062992,-0.023252455092609092,-1.9611460515322137,0.15171063727492462,3,0.0,-0.00906874632392074,-0.006990761654501743,2.0,-0.0064227753518413255,-0.013792701965419152,0.0005863735624242406,0.2313670452576344,False,0.48385429694205695,0.7526537973786199,23.801312008399183,3,0.4553548645609748,1.282917943386473,0.2,top_raw_p_fallback,fold_05_202107_202112,0.2,25,low_vol_at_test_start
kalman_full,ConsumerDiscretionary,stock_etf,LOW,XLY,2.0,0.919338352693992,0.015504679872761355,0.03236810524878381,0.03937007874015752,0.5052333516856705,0.05184063343041204,0.047888233858269603,0.047890357213747674,0.0,0.0037522237489078236,0.007641955282106039,0.017485099350875118,0.43705529655589653,0.0932443736812287,-0.007988580412906954,0.03968253968253968,0.0037522237489078236,0.43705529655589653,0.0932443736812287,6,0.6666666666666666,0.0006334870656980277,0.001793318938075883,2.1666666666666665,0.005161532938858793,-0.007988580412906954,0.0010554949872098119,0.2311534021989488,False,1.4453962774679001,0.9719861177889404,18.4495359969436,3,0.34524786003330094,1.5745588368317083,0.2,top_raw_p_fallback,fold_09_202207_202212,0.2,0,high_vol_at_test_start
kalman_full,ConsumerDiscretionary,stock_etf,LOW,XLY,2.0,0.919338352693992,0.015504679872761355,0.03236810524878381,0.03937007874015752,0.5052333516856705,0.05184063343041204,0.047888233858269603,0.047890357213747674,0.0030170925044661033,0.0007288892864822927,0.0016077702731738322,0.01743023430416978,0.09224031330371793,0.08927637388537076,-0.008729675777906287,0.03968253968253968,0.0037522237489078236,0.43705529655589653,0.0932443736812287,6,0.6666666666666666,0.00038169514084696043,0.0015415341155469164,2.1666666666666665,0.004908216468721305,-0.008236481747776692,0.0010554949872098119,0.2311534021989488,False,1.4453962774679001,0.9719861177889404,18.4495359969436,3,0.34524786003330094,1.5745588368317083,0.2,top_raw_p_fallback,fold_09_202207_202212,0.2,5,high_vol_at_test_start
